,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10,HOU,139.91304347826087,311.4347826086956,0.4222608695652173,57.52173913043478,161.7826086956522,0.2864761904761905,82.3913043478261,149.65217391304347,0.5053636363636363,0.4997391304347826,68.78260869565217,87.0,0.6911578947368421,36.34782608695652,113.6086956521739,149.95652173913044,75.69565217391305,30.43478260869565,17.608695652173914,45.130434782608695,78.3913043478261,406.1304347826087
11,IND,199.41176470588235,419.7058823529412,0.4193529411764705,45.8235294117647,122.41176470588236,0.3646875,153.58823529411765,297.29411764705884,0.4481176470588235,0.4714117647058823,76.3529411764706,101.58823529411764,0.7292000000000001,44.8235294117647,162.7058823529412,207.52941176470588,125.17647058823528,41.94117647058823,23.764705882352946,64.11764705882354,93.76470588235294,521.0
12,LAC,153.8181818181818,326.27272727272725,0.4434545454545455,37.31818181818182,96.27272727272728,0.3057894736842105,116.5,230.0,0.4732272727272727,0.5015909090909091,84.22727272727273,106.36363636363636,0.7103181818181818,36.18181818181818,133.45454545454547,169.63636363636363,89.54545454545455,25.5,17.5,51.45454545454545,86.95454545454545,429.1818181818182
13,LAL,158.6818181818182,337.5,0.4387727272727273,38.5,115.5,0.2841904761904762,120.1818181818182,222.0,0.4870454545454545,0.4911363636363636,60.72727272727273,86.81818181818181,0.7024761904761905,37.95454545454545,135.6818181818182,173.63636363636363,95.27272727272728,28.09090909090909,20.0,56.63636363636363,77.31818181818181,416.59090909090907
14,MEM,111.17857142857144,247.28571428571428,0.4401071428571428,28.964285714285715,84.57142857142857,0.2801153846153846,82.21428571428571,162.71428571428572,0.5081428571428571,0.4896428571428571,51.892857142857146,67.21428571428571,0.7741153846153845,25.821428571428573,96.53571428571428,122.35714285714286,70.10714285714286,24.428571428571427,16.0,38.57142857142857,64.32142857142857,303.2142857142857
15,MIA,180.61111111111111,401.0,0.3912222222222222,51.55555555555556,147.66666666666666,0.2824117647058823,129.05555555555554,253.33333333333331,0.4503888888888888,0.4541666666666667,68.77777777777777,99.0,0.677235294117647,51.16666666666666,159.94444444444446,211.11111111111111,110.61111111111111,34.833333333333336,24.88888888888889,64.16666666666667,95.11111111111111,481.55555555555554
16,MIL,148.125,311.2916666666667,0.428,46.04166666666666,130.58333333333334,0.38225,102.08333333333331,180.70833333333331,0.4670833333333333,0.517375,61.29166666666666,79.33333333333333,0.7537727272727271,31.75,138.16666666666666,169.91666666666666,89.0,25.625,20.25,45.29166666666666,67.0,403.5833333333333
17,MIN,162.52380952380952,356.3333333333333,0.4403809523809524,39.38095238095238,112.23809523809524,0.3232380952380952,123.14285714285714,244.0952380952381,0.4962857142857143,0.5067619047619047,74.76190476190476,95.0,0.7443,43.95238095238095,130.95238095238096,174.9047619047619,96.0952380952381,32.523809523809526,19.571428571428573,49.04761904761905,79.23809523809524,439.1904761904762
18,NOP,179.05,378.15,0.4296,42.1,122.45,0.31705,136.95,255.7,0.4715,0.49775,73.1,96.05,0.751,45.45,148.45,193.9,110.8,30.5,22.05,59.4,86.6,473.3
19,NYK,136.2608695652174,314.8260869565217,0.4272173913043478,35.78260869565217,105.2608695652174,0.30855,100.47826086956522,209.56521739130437,0.4690434782608695,0.477,64.52173913043478,85.04347826086956,0.7703913043478261,37.26086956521739,122.21739130434784,159.47826086956522,71.56521739130434,24.217391304347824,18.347826086956523,47.78260869565217,74.47826086956522,372.82608695652175
20,OKC,194.27777777777777,428.1111111111111,0.3610555555555555,51.77777777777778,148.72222222222223,0.2569375,142.5,279.3888888888889,0.4625625,0.4136666666666666,81.16666666666667,113.83333333333331,0.7228666666666667,57.27777777777778,161.72222222222223,219.0,106.5,42.55555555555556,23.61111111111111,62.16666666666666,102.16666666666669,521.5
21,ORL,195.05882352941177,429.8235294117647,0.4481764705882353,55.11764705882353,154.88235294117646,0.3087499999999999,139.94117647058823,274.94117647058823,0.4923529411764706,0.5033529411764706,72.41176470588235,92.6470588235294,0.7295625,48.35294117647059,170.7058823529412,219.05882352941177,123.23529411764706,31.94117647058824,26.176470588235293,60.94117647058823,89.76470588235294,517.6470588235294
22,PHI,131.03846153846155,278.1923076923077,0.4535384615384615,34.19230769230769,95.15384615384616,0.3440384615384615,96.84615384615384,183.03846153846155,0.5198461538461538,0.5197307692307692,67.0,86.84615384615384,0.7191538461538461,34.30769230769231,116.34615384615384,150.65384615384616,84.88461538461539,23.307692307692307,16.615384615384617,45.61538461538461,67.11538461538461,363.2692307692308
23,PHO,137.04166666666666,298.5,0.4334090909090909,32.916666666666664,100.0,0.244,104.125,198.5,0.5172727272727273,0.4833181818181818,60.29166666666666,77.41666666666667,0.7374761904761905,31.166666666666668,106.79166666666669,137.95833333333334,81.54166666666667,30.625,17.416666666666668,51.833333333333336,80.5,367.2916666666667
24,POR,192.77777777777777,412.6111111111111,0.4606111111111111,50.22222222222222,140.0,0.3432222222222222,142.55555555555554,272.6111111111111,0.5129444444444444,0.5173888888888889,86.55555555555556,106.33333333333331,0.7446111111111111,53.72222222222222,164.88888888888889,218.61111111111111,104.83333333333331,30.33333333333333,22.944444444444443,60.61111111111112,92.72222222222224,522.3333333333334
25,SAC,177.05,381.85,0.4541,46.35,122.75,0.2896315789473684,130.7,259.1,0.53015,0.50755,67.7,93.25,0.6774210526315789,45.3,140.95,186.25,104.15,33.95,18.15,52.9,87.55,468.15
26,SAS,216.75,453.0,0.472875,50.75,129.4375,0.3411538461538462,166.0,323.5625,0.496625,0.5245625,88.0,107.5,0.7520625,47.3125,181.875,229.1875,125.8125,31.3125,24.125,60.5625,92.9375,572.25
